chain,n_clusters,silhouette_score
0,2,0.7699155807495117
0,3,0.701249897480011
0,4,0.6038687825202942
0,5,0.6100625395774841
0,6,0.6577715873718262
0,7,0.6853538155555725
0,8,0.7056161761283875
0,9,0.6874141097068787
0,10,0.6705917716026306
1,2,0.7818132638931274
1,3,0.7948969006538391
1,4,0.8539320826530457
1,5,0.7961239814758301
1,6,0.8445289134979248
1,7,0.8234131336212158
1,8,0.8187401294708252
1,9,0.620299756526947
1,10,0.6180176138877869
2,2,0.7568031549453735
2,3,0.760116696357727
2,4,0.8666348457336426
2,5,0.841221272945404
2,6,0.8288548588752747
2,7,0.5779455900192261
2,8,0.5808539390563965
2,9,0.5856496095657349
2,10,0.5981059670448303
3,2,0.8983296751976013
3,3,0.7708999514579773
3,4,0.8238279819488525
3,5,0.7462406158447266
3,6,0.663339376449585
3,7,0.6803777813911438
3,8,0.6407756805419922
3,9,0.5869327783584595
3,10,0.5962821245193481
4,2,0.7440251708030701
4,3,0.7573756575584412
4,4,0.7616102695465088
4,5,0.8016169667243958
4,6,0.808432400226593
4,7,0.8099571466445923
4,8,0.7368971109390259
4,9,0.7842645645141602
4,10,0.7577390670776367
5,2,0.8114430904388428
5,3,0.8560397028923035
5,4,0.797491729259491
5,5,0.7457496523857117
5,6,0.7302113175392151
5,7,0.7008346915245056
5,8,0.5665825009346008
5,9,0.5679504871368408
5,10,0.5660247206687927
6,2,0.8846563696861267
6,3,0.8997006416320801
6,4,0.9105249047279358
6,5,0.813896656036377
6,6,0.8949815630912781
6,7,0.6938965320587158
6,8,0.6222500801086426
6,9,0.6054190993309021
6,10,0.6003758907318115
7,2,0.8505794405937195
7,3,0.7960802912712097
7,4,0.8058924078941345
7,5,0.8378046751022339
7,6,0.5895023941993713
7,7,0.6094939112663269
7,8,0.6445009112358093
7,9,0.6514436602592468
7,10,0.6599726676940918
8,2,0.6821585893630981
8,3,0.6786684989929199
8,4,0.7186885476112366
8,5,0.709442138671875
8,6,0.7378264665603638
8,7,0.7103883028030396
8,8,0.7045475244522095
8,9,0.6543827056884766
8,10,0.6789699792861938
9,2,0.7391722202301025
9,3,0.6834278702735901
9,4,0.6758338809013367
9,5,0.6036586165428162
9,6,0.6240445375442505
9,7,0.6361710429191589
9,8,0.652310848236084
9,9,0.6744832396507263
9,10,0.6129872798919678
10,2,0.7460784912109375
10,3,0.8142146468162537
10,4,0.8290379643440247
10,5,0.7691810727119446
10,6,0.8038520216941833
10,7,0.615418016910553
10,8,0.6160951256752014
10,9,0.6378048658370972
10,10,0.604090690612793
11,2,0.7369468212127686
11,3,0.849010169506073
11,4,0.7734811902046204
11,5,0.7982732057571411
11,6,0.8196719288825989
11,7,0.8524681925773621
11,8,0.6118676066398621
11,9,0.6157492399215698
11,10,0.617987334728241
12,2,0.6735603213310242
12,3,0.83123779296875
12,4,0.8054643273353577
12,5,0.8264643549919128
12,6,0.6412017345428467
12,7,0.6693455576896667
12,8,0.6675084233283997
12,9,0.6332249045372009
12,10,0.6458912491798401
13,2,0.6081526875495911
13,3,0.6422492861747742
13,4,0.6867918968200684
13,5,0.7317593097686768
13,6,0.7216489315032959
13,7,0.6450995802879333
13,8,0.6572732925415039
13,9,0.6399754285812378
13,10,0.600042998790741
14,2,0.7814754843711853
14,3,0.6889193654060364
14,4,0.7571486234664917
14,5,0.8009324669837952
14,6,0.83099365234375
14,7,0.6613497138023376
14,8,0.6678467988967896
14,9,0.655778169631958
14,10,0.6368653178215027
15,2,0.7986927628517151
15,3,0.7921578288078308
15,4,0.8333160877227783
15,5,0.7552345991134644
15,6,0.7643454074859619
15,7,0.7653241753578186
15,8,0.7528852820396423
15,9,0.7642225027084351
15,10,0.7678678035736084
16,2,0.6581568121910095
16,3,0.7684904932975769
16,4,0.8503029942512512
16,5,0.8459182977676392
16,6,0.8499169945716858
16,7,0.6480669975280762
16,8,0.6488237380981445
16,9,0.5915733575820923
16,10,0.6013939380645752
17,2,0.782101035118103
17,3,0.787336528301239
17,4,0.8378093838691711
17,5,0.8740476369857788
17,6,0.8817177414894104
17,7,0.7199949026107788
17,8,0.7031777501106262
17,9,0.6783263683319092
17,10,0.685157299041748
18,2,0.722093403339386
18,3,0.9016007781028748
18,4,0.8491408228874207
18,5,0.8227266073226929
18,6,0.5998619198799133
18,7,0.5848990678787231
18,8,0.5889564156532288
18,9,0.6133636236190796
18,10,0.5986514091491699
19,2,0.8490849137306213
19,3,0.6858379244804382
19,4,0.7927855253219604
19,5,0.756622850894928
19,6,0.6515840888023376
19,7,0.6256600022315979
19,8,0.6345650553703308
19,9,0.6413034796714783
19,10,0.6210070848464966
20,2,0.6585526466369629
20,3,0.7080661654472351
20,4,0.8201606273651123
20,5,0.6635740399360657
20,6,0.6623163223266602
20,7,0.6583606600761414
20,8,0.6717103123664856
20,9,0.6583618521690369
20,10,0.6763659119606018
21,2,0.6982779502868652
21,3,0.7485029697418213
21,4,0.8176352977752686
21,5,0.7058493494987488
21,6,0.7043588757514954
21,7,0.6742706894874573
21,8,0.6680169701576233
21,9,0.666995108127594
21,10,0.6993891000747681
22,2,0.6089057922363281
22,3,0.8580113053321838
22,4,0.859078049659729
22,5,0.8715853095054626
22,6,0.8785244822502136
22,7,0.832402765750885
22,8,0.6460627913475037
22,9,0.60750412940979
22,10,0.5983864665031433
23,2,0.8521050214767456
23,3,0.6833989024162292
23,4,0.7426835894584656
23,5,0.810185432434082
23,6,0.8680946230888367
23,7,0.8656039237976074
23,8,0.8530125021934509
23,9,0.8687499165534973
23,10,0.8393700122833252
24,2,0.7622339725494385
24,3,0.7505258917808533
24,4,0.8402941226959229
24,5,0.8508638143539429
24,6,0.8476549983024597
24,7,0.8587881326675415
24,8,0.8408246040344238
24,9,0.8445129990577698
24,10,0.593555212020874
