chain,k,Tg,silhouette
0,2,360.0,0.675029456615448
0,3,360.0,0.634074330329895
0,4,273.5,0.6194652915000916
0,5,273.5,0.6449547410011292
0,6,273.5,0.7021781802177429
0,7,273.5,0.7339456081390381
0,8,273.5,0.763132631778717
0,9,273.5,0.7418649792671204
0,10,273.5,0.7499982118606567
1,2,350.0,0.7883623838424683
1,3,350.0,0.8157998323440552
1,4,350.0,0.8824712634086609
1,5,291.5,0.753034770488739
1,6,291.5,0.7162073254585266
1,7,291.5,0.6940037608146667
1,8,291.5,0.6754931807518005
1,9,291.5,0.6897029280662537
1,10,237.5,0.642209529876709
2,2,310.5,0.7036396861076355
2,3,310.5,0.7859495878219604
2,4,310.5,0.8608673810958862
2,5,310.5,0.8544148206710815
2,6,310.5,0.8565965294837952
2,7,310.5,0.8291569352149963
2,8,310.5,0.8037818670272827
2,9,310.5,0.8126852512359619
2,10,310.5,0.8031665682792664
3,2,390.0,0.7085148692131042
3,3,350.0,0.8787158131599426
3,4,350.0,0.828644871711731
3,5,310.5,0.7681031823158264
3,6,310.5,0.7647398114204407
3,7,310.5,0.7425999641418457
3,8,310.5,0.7124668955802917
3,9,310.5,0.6800599098205566
3,10,310.0,0.6552107930183411
4,2,330.0,0.6048669815063477
4,3,330.0,0.7772464156150818
4,4,330.0,0.8485392928123474
4,5,330.0,0.84423828125
4,6,330.0,0.8786821961402893
4,7,330.0,0.8354727625846863
4,8,330.0,0.8204602599143982
4,9,330.0,0.8253701329231262
4,10,330.0,0.5865705609321594
5,2,370.0,0.6141510009765625
5,3,296.0,0.7751588821411133
5,4,296.0,0.872999370098114
5,5,296.0,0.8844619989395142
5,6,296.0,0.9062093496322632
5,7,296.0,0.8488393425941467
5,8,296.0,0.8382027745246887
5,9,296.0,0.8240086436271667
5,10,296.0,0.7871108055114746
6,2,360.0,0.7624996304512024
6,3,310.0,0.7869611978530884
6,4,310.0,0.7963475584983826
6,5,310.0,0.8053755760192871
6,6,310.0,0.8163061738014221
6,7,310.0,0.7803776264190674
6,8,310.0,0.8158605694770813
6,9,310.0,0.8379861116409302
6,10,310.0,0.8398413062095642
7,2,300.0,0.5880242586135864
7,3,300.0,0.7546596527099609
7,4,300.0,0.7734653949737549
7,5,300.0,0.7568078637123108
7,6,300.0,0.7908865213394165
7,7,300.0,0.7640330791473389
7,8,300.0,0.7809028625488281
7,9,270.0,0.6797000169754028
7,10,270.0,0.6662079095840454
8,2,350.0,0.8528140783309937
8,3,350.0,0.7740107178688049
8,4,330.5,0.8028646111488342
8,5,330.5,0.8495402932167053
8,6,330.5,0.8933946490287781
8,7,330.5,0.8766953945159912
8,8,330.5,0.8650948405265808
8,9,330.5,0.8322347402572632
8,10,330.5,0.8286172151565552
9,2,360.0,0.6358367204666138
9,3,360.0,0.7497961521148682
9,4,360.0,0.6793798804283142
9,5,360.0,0.6798455119132996
9,6,350.0,0.6944220662117004
9,7,350.0,0.6935539245605469
9,8,299.0,0.6400712132453918
9,9,299.0,0.6673071384429932
9,10,299.0,0.6894080638885498
10,2,371.0,0.7391207218170166
10,3,336.0,0.7868509888648987
10,4,336.0,0.7566825151443481
10,5,336.0,0.7398220300674438
10,6,336.0,0.7792492508888245
10,7,336.0,0.8403629064559937
10,8,301.5,0.6723293662071228
10,9,301.5,0.6902440190315247
10,10,301.5,0.679033100605011
11,2,336.5,0.7989188432693481
11,3,336.5,0.685188353061676
11,4,336.5,0.8004476428031921
11,5,336.5,0.8161632418632507
11,6,336.5,0.8512579798698425
11,7,336.5,0.8602147698402405
11,8,280.0,0.6519029140472412
11,9,280.0,0.6560212969779968
11,10,280.0,0.6602333188056946
12,2,400.0,0.6710708737373352
12,3,400.0,0.7887314558029175
12,4,371.5,0.7322313189506531
12,5,371.5,0.736969530582428
12,6,371.5,0.7236847281455994
12,7,296.0,0.5997545719146729
12,8,296.0,0.6062029600143433
12,9,296.0,0.6421184539794922
12,10,296.0,0.6414421796798706
13,2,325.5,0.6188324093818665
13,3,296.5,0.7228774428367615
13,4,296.5,0.8145398497581482
13,5,296.5,0.8228335976600647
13,6,296.5,0.7877418398857117
13,7,296.5,0.8411545157432556
13,8,296.5,0.8442758321762085
13,9,296.5,0.8660825490951538
13,10,296.5,0.8711614012718201
14,2,310.5,0.7953367233276367
14,3,310.5,0.8384101986885071
14,4,310.5,0.8179451823234558
14,5,310.5,0.7235730290412903
14,6,310.5,0.7652381658554077
14,7,310.5,0.7493438124656677
14,8,310.5,0.6548348069190979
14,9,310.5,0.6340181827545166
14,10,310.5,0.6596546173095703
15,2,330.0,0.7305020689964294
15,3,330.0,0.726576030254364
15,4,296.5,0.7183635830879211
15,5,296.5,0.7300701141357422
15,6,296.5,0.7296462655067444
15,7,279.5,0.7313365340232849
15,8,279.5,0.7258537411689758
15,9,279.5,0.7408421039581299
15,10,279.5,0.7419319152832031
16,2,370.0,0.7907232642173767
16,3,370.0,0.8848658800125122
16,4,329.5,0.673866331577301
16,5,329.5,0.6215746998786926
16,6,329.5,0.5593717694282532
16,7,329.5,0.5985593199729919
16,8,329.5,0.6023793816566467
16,9,291.5,0.5537587404251099
16,10,291.5,0.5740435123443604
17,2,330.0,0.7522294521331787
17,3,330.0,0.7427328824996948
17,4,330.0,0.8197869658470154
17,5,330.0,0.7848718166351318
17,6,330.0,0.8397160172462463
17,7,283.0,0.7857092022895813
17,8,283.0,0.788857638835907
17,9,283.0,0.7724097967147827
17,10,283.0,0.7872442603111267
18,2,370.0,0.7181640863418579
18,3,370.0,0.770942747592926
18,4,350.0,0.7829366326332092
18,5,320.0,0.8145051598548889
18,6,320.0,0.8191224932670593
18,7,320.0,0.814025342464447
18,8,300.0,0.7585758566856384
18,9,300.0,0.7484742403030396
18,10,300.0,0.7673040628433228
19,2,350.0,0.7826330661773682
19,3,350.0,0.8040227890014648
19,4,350.0,0.7752074003219604
19,5,329.5,0.7396097183227539
19,6,329.5,0.7869393825531006
19,7,329.5,0.810839056968689
19,8,280.5,0.6305475234985352
19,9,280.5,0.6019070744514465
19,10,280.5,0.5973641872406006
20,2,400.0,0.7641700506210327
20,3,350.5,0.8355987071990967
20,4,350.5,0.8930107355117798
20,5,350.5,0.9034521579742432
20,6,320.5,0.7061442136764526
20,7,320.5,0.6613931059837341
20,8,320.5,0.6178261637687683
20,9,320.5,0.6142613291740417
20,10,210.0,0.5707468390464783
21,2,330.0,0.8226912617683411
21,3,330.0,0.7588293552398682
21,4,330.0,0.7661620378494263
21,5,330.0,0.7729442119598389
21,6,330.0,0.812727153301239
21,7,330.0,0.8393446803092957
21,8,330.0,0.832375168800354
21,9,330.0,0.8421173095703125
21,10,318.0,0.5944128632545471
22,2,340.0,0.7407999634742737
22,3,340.0,0.7390460968017578
22,4,340.0,0.7821865081787109
22,5,296.5,0.7528647780418396
22,6,296.5,0.799481213092804
22,7,296.5,0.7498063445091248
22,8,296.5,0.7434626221656799
22,9,296.5,0.7486914396286011
22,10,296.5,0.728803277015686
23,2,330.0,0.6606038212776184
23,3,330.0,0.7874994277954102
23,4,330.0,0.7775129675865173
23,5,330.0,0.79184490442276
23,6,330.0,0.8151965141296387
23,7,330.0,0.831182062625885
23,8,330.0,0.6721140146255493
23,9,330.0,0.6562477946281433
23,10,330.0,0.6537633538246155
24,2,360.0,0.9009131193161011
24,3,360.0,0.7801303863525391
24,4,360.0,0.8167563080787659
24,5,360.0,0.8323143124580383
24,6,360.0,0.8588249683380127
24,7,306.5,0.5655830502510071
24,8,306.5,0.5601081252098083
24,9,224.5,0.5812631845474243
24,10,224.5,0.5712317228317261
